SubID,Include,Exclusion_reason,AgeYear,AgeMonths,Child_GenderClean,ConditionOrder,Counting,Demographics,Task,TrialLabel,Comparison,Side,TrialType,Response.keys,Response.corr
BABSYN432,1,NA,4,55,boy,MO,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,n,0
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,n,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,n,0
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,n,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,n,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,n,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,n,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN433,1,NA,6,78,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,n,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,n,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,n,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,n,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,n,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN434,1,NA,6,73,boy,MO,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,n,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,n,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,n,0
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,n,0
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,n,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,n,0
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,n,0
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,n,0
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,n,0
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,n,0
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,n,0
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,n,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,n,0
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,y,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,y,0
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,y,0
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,n,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,n,0
BABSYN435,1,NA,4,51,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,n,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,n,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,n,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,n,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,n,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,y,1
BABSYN436,1,NA,5,70,girl,MO,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,n,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,n,0
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,n,0
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,n,0
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,y,0
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,n,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,n,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,n,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,n,0
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,y,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN437,1,NA,4,59,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,n,0
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,y,0
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,y,0
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,n,0
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,y,0
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,y,0
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,y,0
BABSYN438,1,NA,6,73,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN438,1,NA,6,73,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,n,0
BABSYN438,1,NA,6,73,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,y,0
BABSYN438,1,NA,6,73,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,n,0
BABSYN438,1,NA,6,73,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,n,0
BABSYN438,1,NA,6,73,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,y,1
BABSYN438,1,NA,6,73,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,y,0
